date,open,high,low,close,volume,tr,dm+,dm-,tr14,dm+_14,dm-_14,di+,di-,di+ sum,di+ diff,dx,adx
2024-06-03 09:15:00+05:30,1440,1440,1422.5,1426.05,608537,,,,,,,,,,,,
2024-06-03 09:20:00+05:30,1425.35,1426.7,1418.45,1421.45,334479,8.25,0,4.05,,,,,,,,,
2024-06-03 09:25:00+05:30,1421.85,1422.25,1415.75,1418.85,150139,6.5,0,2.7,,,,,,,,,
2024-06-03 09:30:00+05:30,1419,1419.15,1413.05,1414.5,153774,6.1,0,2.7,,,,,,,,,
2024-06-03 09:35:00+05:30,1414.55,1415.05,1410.6,1410.8,197865,4.45,0,2.45,,,,,,,,,
2024-06-03 09:40:00+05:30,1410.65,1413.4,1410.5,1411.55,109628,2.9,0,0.1,,,,,,,,,
2024-06-03 09:45:00+05:30,1411.35,1411.5,1405.7,1411.3,213022,5.85,0,4.8,,,,,,,,,
2024-06-03 09:50:00+05:30,1411.2,1412.95,1410.3,1412.3,100998,2.65,1.45,0,,,,,,,,,
2024-06-03 09:55:00+05:30,1412.2,1416,1411.7,1415.5,98795,4.3,3.05,0,,,,,,,,,
2024-06-03 10:00:00+05:30,1415.45,1417.45,1408.05,1409.65,957286,9.4,0,3.65,,,,,,,,,
2024-06-03 10:05:00+05:30,1409.65,1410,1409.05,1409.7,173145,0.95,0,0,,,,,,,,,
2024-06-03 10:10:00+05:30,1409.95,1410,1408.8,1409.2,130579,1.2,0,0.25,,,,,,,,,
2024-06-03 10:15:00+05:30,1409.2,1410,1409.1,1409.9,166843,0.9,0,0,,,,,,,,,
2024-06-03 10:20:00+05:30,1410,1410,1408.6,1409.05,170291,1.4,0,0.5,,,,,,,,,
2024-06-03 10:25:00+05:30,1409.25,1409.5,1407.5,1409.45,79175,2,0,1.1,,,,,,,,,
2024-06-03 10:30:00+05:30,1409.5,1410,1408.8,1410,104249,1.2,0.5,0,58.05,5,22.3,8.613264427,38.41515935,47.02842377,29.80189492,63.36996337,
2024-06-03 10:35:00+05:30,1409.85,1410,1408.35,1409.85,226496,1.65,0,0.45,55.55357143,4.642857143,21.15714286,8.357441337,38.08421729,46.44165863,29.72677596,64.00885936,
2024-06-03 10:40:00+05:30,1409.85,1412.4,1409.7,1410.3,257445,2.7,2.4,0,54.28545918,6.71122449,19.64591837,12.36284005,36.19001969,48.55285974,23.82717964,49.07471932,
2024-06-03 10:45:00+05:30,1410.2,1410.4,1409.5,1409.75,60899,0.9,0,0.2,51.30792638,6.231851312,18.44263848,12.14598163,35.94500847,48.0909901,23.79902684,49.48749609,
2024-06-03 10:50:00+05:30,1409.75,1410.2,1409.05,1409.95,57467,1.15,0,0.45,48.7930745,5.786719075,17.57530716,11.85971398,36.02008552,47.8797995,24.16037155,50.46046934,
2024-06-03 10:55:00+05:30,1409.95,1410,1406.7,1406.7,112147,3.3,0,2.35,48.60785489,5.373381999,18.66992808,11.05455489,38.40928204,49.46383693,27.35472716,55.30247723,
2024-06-03 11:00:00+05:30,1406.7,1407.65,1406,1406.65,78152,1.65,0,0.7,46.78586526,4.989568999,18.03636179,10.66469322,38.5508779,49.21557112,27.88618468,56.66130464,
2024-06-03 11:05:00+05:30,1406.6,1407.2,1406.25,1406.7,62698,0.95,0,0,44.39401774,4.633171213,16.74805023,10.43647646,37.72591688,48.16239335,27.28944042,56.66130464,
2024-06-03 11:10:00+05:30,1406.7,1408.2,1406.65,1407.55,46923,1.55,1,0,42.77301647,5.302230412,15.55176093,12.39620408,36.35881267,48.75501674,23.96260859,49.14901109,
2024-06-03 11:15:00+05:30,1407.55,1408.15,1405.6,1406.05,178397,2.55,0,1.05,42.26780101,4.923499668,15.49092086,11.64834591,36.64946009,48.297806,25.00111419,51.76449255,
2024-06-03 11:20:00+05:30,1406.1,1408.85,1406,1408.85,65262,2.85,0.7,0,42.09867237,5.271821121,14.38442652,12.52253533,34.16836139,46.69089672,21.64582606,46.35984224,
2024-06-03 11:25:00+05:30,1408.75,1408.85,1408,1408.15,55373,0.85,0,0,39.94162434,4.895262469,13.35696748,12.25604254,33.44122253,45.69726507,21.18518,46.35984224,
2024-06-03 11:30:00+05:30,1408.1,1409,1408,1408.85,35483,1,0.15,0,38.08865117,4.695600864,12.40289837,12.32808388,32.56323863,44.89132251,20.23515476,45.07587129,
2024-06-03 11:35:00+05:30,1408.7,1409.45,1408.05,1409.3,36779,1.4,0.45,0,36.76803323,4.810200803,11.51697706,13.08256216,31.32334272,44.40590488,18.24078056,41.07737611,
2024-06-03 11:40:00+05:30,1409.4,1410,1408.55,1410,141953,1.45,0.55,0,35.59174514,5.016615031,10.69433584,14.09488355,30.04723651,44.14212006,15.95235297,36.13861986,50.73010996
2024-06-03 11:45:00+05:30,1410,1410,1409.2,1409.85,130940,0.8,0,0,33.84947763,4.658285386,9.930454711,13.76176447,29.33709884,43.09886331,15.57533437,36.13861986,49.68786067
2024-06-03 11:50:00+05:30,1409.8,1410,1409.15,1409.7,85154,0.85,0,0.05,32.2816578,4.325550715,9.271136518,13.399407,28.71951798,42.11892498,15.32011098,36.37346155,48.73683216
2024-06-03 11:55:00+05:30,1409.7,1409.95,1408.1,1408.25,63102,1.85,0,1.05,31.8258251,4.016582807,9.658912481,12.6205143,30.34929165,42.96980595,17.72877735,41.2586861,48.20267887
2024-06-03 12:00:00+05:30,1408.25,1410,1408.2,1409.95,235980,1.8,0.05,0,31.35255188,3.779684035,8.968990161,12.0554271,28.60689042,40.66231752,16.55146332,40.70467286,47.66710701
2024-06-03 12:05:00+05:30,1409.65,1410.3,1409.4,1409.95,291335,0.9,0.3,0,30.01308389,3.809706604,8.328348006,12.69348601,27.74905783,40.44254384,15.05557183,37.22706436,46.92138968
2024-06-03 12:10:00+05:30,1409.95,1410,1408.25,1408.25,70163,1.75,0,1.15,29.61929218,3.537584704,8.883466006,11.94351533,29.9921617,41.93567703,18.04864636,43.03888155,46.64406767
2024-06-03 12:15:00+05:30,1408.35,1409.55,1408,1408.75,61625,1.55,0,0.25,29.05362846,3.284900082,8.49893272,11.30633335,29.25256903,40.55890238,17.94623568,44.24734062,46.47287288
2024-06-03 12:20:00+05:30,1408.8,1409.95,1408.4,1409.1,63395,1.55,0.4,0,28.52836928,3.450264362,7.891866097,12.09415206,27.66322189,39.75737396,15.56906983,39.16020673,45.95053958
2024-06-03 12:25:00+05:30,1409.15,1409.75,1408.3,1408.8,59941,1.45,0,0.1,27.94062862,3.203816908,7.428161376,11.46651692,26.58551988,38.0520368,15.11900296,39.73244071,45.50638966
2024-06-03 12:30:00+05:30,1408.5,1409.8,1408.5,1409.3,467862,1.3,0.05,0,27.24486943,3.024972843,6.89757842,11.1029082,25.31698101,36.41988921,14.21407281,39.02832522,45.04367077
2024-06-03 12:35:00+05:30,1409.3,1409.9,1408,1409.9,85076,1.9,0,0.5,27.19880733,2.808903354,6.904894247,10.3273034,25.38675378,35.71405718,15.05945038,42.16673089,44.83817507
2024-06-03 12:40:00+05:30,1409.9,1410,1409.05,1410,42075,0.95,0.1,0,26.20603538,2.7082674,6.411687515,10.33451784,24.46645371,34.80097155,14.13193588,40.60787745,44.53601095
2024-06-03 12:45:00+05:30,1410,1410,1408.2,1408.95,47517,1.8,0,0.85,26.13417571,2.514819729,6.803709836,9.6227245,26.0337648,35.6564893,16.4110403,46.02539572,44.64239558
2024-06-03 12:50:00+05:30,1408.9,1410,1408.2,1409.95,53975,1.8,0,0,26.06744887,2.335189748,6.317730562,8.958259627,24.23609074,33.19435037,15.27783111,46.02539572,44.7411813
2024-06-03 12:55:00+05:30,1409.9,1410,1409.25,1410,77923,0.75,0,0,24.95548824,2.16839048,5.866464093,8.689032488,23.50771116,32.19674365,14.81867867,46.02539572,44.8329109
2024-06-03 13:00:00+05:30,1410,1410,1408.5,1409,56001,1.5,0,0.75,24.67295336,2.013505446,6.197430944,8.160780011,25.11831823,33.27909825,16.95753822,50.95552199,45.27024027
2024-06-03 13:05:00+05:30,1408.95,1409.1,1408.3,1408.9,68404,0.8,0,0.2,23.71059955,1.869683628,5.954757305,7.885433788,25.11432616,32.99975994,17.22889237,52.20914454,45.76587629
2024-06-03 13:10:00+05:30,1408.85,1409.1,1408.1,1409,79952,1,0,0.2,23.0169853,1.736134798,5.729417497,7.542841842,24.89212824,32.43497008,17.3492864,53.48944782,46.31755997
2024-06-03 13:15:00+05:30,1409,1409,1408,1408.3,73304,1,0,0.1,22.37291492,1.612125169,5.42017339,7.205700175,24.22649623,31.43219641,17.02079606,54.1508326,46.87707944
2024-06-03 13:20:00+05:30,1408.25,1409.8,1407.5,1409.45,86588,2.3,0.8,0,23.07484957,2.296973372,5.033018148,9.954445705,21.81170514,31.76615084,11.85725943,37.32671135,46.19491029
2024-06-03 13:25:00+05:30,1409.4,1409.55,1408.4,1409.05,74671,1.15,0,0,22.57664603,2.132903845,4.673516852,9.447390204,20.70066938,30.14805959,11.25327918,37.32671135,45.56146751
2024-06-03 13:30:00+05:30,1408.95,1409.55,1408.25,1409.45,58837,1.3,0,0.15,22.26402845,1.98055357,4.48969422,8.895755656,20.16568668,29.06144233,11.26993102,38.77966858,45.0770533
2024-06-03 13:35:00+05:30,1409.05,1409.65,1407,1407,74474,2.65,0,1.25,23.32374071,1.839085458,5.419001775,7.885036459,23.23384505,31.11888151,15.34880859,49.3231371,45.380345
2024-06-03 13:40:00+05:30,1407.1,1407.75,1406.1,1407.2,85805,1.65,0,0.9,23.30775923,1.707722211,5.93193022,7.326839936,25.45045262,32.77729256,18.12361269,55.29319621,46.0884058
2024-06-03 13:45:00+05:30,1407,1407.55,1406,1406.1,71367,1.55,0,0.1,23.19291928,1.585742053,5.608220918,6.837181788,24.18074607,31.01792786,17.34356428,55.91464511,46.79028004
2024-06-03 13:50:00+05:30,1406.1,1407.55,1405.95,1407.05,274929,1.6,0,0.05,23.13628219,1.472474764,5.25763371,6.364353406,22.72462648,29.08897989,16.36027308,56.24216847,47.46541493
2024-06-03 13:55:00+05:30,1407.1,1408.55,1406.55,1408.5,59047,2,1,0,23.48369061,2.367297995,4.882088445,10.0806046,20.78927255,30.86987715,10.70866795,34.68970058,46.5528639
2024-06-03 14:00:00+05:30,1408.6,1409.7,1408.35,1409.4,79573,1.35,1.15,0,23.15628413,3.348205281,4.533367842,14.45916478,19.57726816,34.03643295,5.118103379,15.03713208,44.3017402
2024-06-03 14:05:00+05:30,1409.4,1409.4,1408,1408.25,60422,1.4,0,0.35,22.90226384,3.109047761,4.559555853,13.57528576,19.90875612,33.48404187,6.333470361,18.91489201,42.4883939
2024-06-03 14:10:00+05:30,1408.25,1408.5,1406.4,1407.35,56722,2.1,0,1.6,23.36638785,2.886972921,5.833873292,12.35523838,24.96694538,37.32218377,12.611707,33.79144981,41.86718361
2024-06-03 14:15:00+05:30,1407.25,1408.35,1407,1407.3,58169,1.35,0,0,23.04736015,2.680760569,5.417168057,11.63152982,23.5045056,35.13603543,11.87297578,33.79144981,41.29034548
2024-06-03 14:20:00+05:30,1407.3,1408,1406.5,1407.3,47434,1.5,0,0.5,22.90112014,2.489277672,5.530227482,10.86967649,24.14828379,35.01796028,13.2786073,37.91941961,41.04956506
2024-06-03 14:25:00+05:30,1407.4,1407.5,1406.05,1406.5,57971,1.45,0,0.45,22.71532584,2.311472124,5.585211233,10.1758264,24.58785435,34.76368075,14.41202795,41.45714044,41.07867759
2024-06-03 14:30:00+05:30,1406.35,1407,1406,1406.55,62326,1,0,0.05,22.09280257,2.146366972,5.236267573,9.715231761,23.70123735,33.41646911,13.98600559,41.85363074,41.13403139
2024-06-03 14:35:00+05:30,1406.55,1407,1406.35,1406.85,58383,0.65,0,0,21.16474524,1.993055045,4.862248461,9.416862914,22.973338,32.39020091,13.55647509,41.85363074,41.18543134
2024-06-03 14:40:00+05:30,1406.85,1407.35,1406.35,1406.7,70007,1,0.35,0,20.65297772,2.200693971,4.514944999,10.65557713,21.86098809,32.51656521,11.20541096,34.46062302,40.70508789
2024-06-03 14:45:00+05:30,1406.5,1407,1405.65,1406.5,76838,1.35,0,0.7,20.52776503,2.043501544,4.892448928,9.954817494,23.83332487,33.78814236,13.87850738,41.07508258,40.73151608
2024-06-03 14:50:00+05:30,1406.5,1407,1406.05,1406.95,62451,0.95,0,0,20.0114961,1.897537148,4.54298829,9.482235306,22.70189229,32.1841276,13.21965699,41.07508258,40.75605654
2024-06-03 14:55:00+05:30,1406.35,1407,1406,1406.2,63447,1,0,0.05,19.58210352,1.76199878,4.268489127,8.998005647,21.79790911,30.79591476,12.79990346,41.56364103,40.81374115
2024-06-03 15:00:00+05:30,1406.2,1406.25,1404.1,1405,286094,2.15,0,1.9,20.33338184,1.636141725,5.863597046,8.046579451,28.83729373,36.88387318,20.79071428,56.36803428,41.92476209
2024-06-03 15:05:00+05:30,1404.75,1405.75,1404,1405,209563,1.75,0,0.1,20.63099742,1.519274459,5.544768686,7.364037848,26.87591187,34.23994972,19.51187402,56.98569707,43.00054316
